inputs,outputs
what is the temperature outside where are you located? what is the temperature in camarillo right now?,right now the temperature in camarillo is a low of 50f and a high of 70f.
"what's the seven day forecast for new york city new york's weekly forecast is scattered being warm, hot, and clear skies. the lows are in the 30s while the highs are up to 90f. on what day is it supposed to hit 90f?",it is supposed to be 90f on new_york_wednesday in new york.
where can i get tea?,i have a couple listings for tea places. which are you interested in?
"will it be warm in new york today and tomorrow? today and tomorrow in new york will be warm the lows will be 50f and 60f, the highs will be in the 70s thanks.",anytime.
what date is my optometrist appointment on and who will be attending?,your optometrist appointment is on optometrist_appointment_date with jon.
"i am doing yoga with my brother wednesday do you want me to set a reminder? yes, set a reminder for an hour before 11am. okay, setting a reminder for wednesday at 10am for yoga with your bro. thank you.",glad to help
what is the local weather forecast for this week for what city would you like the weekly forecast for? will it be humid in new york?,it will not be humid in new york this week.
"i need to set up a reminder to go to the dentist for what time would you like me to set the reminder? 3pm on tuesday.  setting reminder for dentist at 3pm on tuesday. okay you're great, thank you.",you are welcome.
check the weather,what city would you like me to check the weather for?
look at today and tomorrow and tell me if there will be drizzle in camarillo it is drizzling today in camarillo. thanks.,anytime.
can you tell me who's attending my next tennis activity? also the date?,
will it rain this week what city do you want the weather for? corona.,"it will be raining wednesday, friday, and corona_saturday in corona."
give me directions to 5677 southwest 4th street,i'm sorry but i don't have this address in my memory: can you give me further details?
"give me directions to my house we're home_distance away from home but there is heavy traffic on our way, i sent you the quickest way on screen thank you car, hope you picked a quick route to go there, i need bathroom...",no problem.
schedule a work meeting for the conference room this tuesday at 10,"okay, setting a reminder on tuesday for your work meeting in the conference room at 10 am."
what date and time is my football activity?,your football activity is on football_activity_date at 10 am
"where is the closest place to eat you can pick between the pizzeria pizza my heart and the chinese restaurant p.f. changs, they're both Pizza_My_Heart_distance away i think i want pizza tonight, can you give me directions?",pizza my heart is located at Pizza_My_Heart_address
i have to go grocery shopping can you give me directions to the nearest grocery store,the nearest grocery store is whole foods which is two miles away at Whole_Foods_address.
is it supposed to snow today,what city are you interested in?
what time should i get my shot this afternoon,i see a lab appointment on your schedule today at lab_appointment_time.
will it be hot in brentwood on brentwood_wednesday?,"no, on brentwood_wednesday it will be foggy in brentwood"
will it be cloudy in new york on new_york_thursday?,in new york on new_york_thursday the forecast calls for rain with a low of 70f and a high of 80f.
"what will the lowest temperture be in downtown chicago next week? next week the lowest temperature will be 20f in downtown chicago great, thank you for helping me out.",happy to help
"car i need a parking garage in the area, please find something for me",the closest parking garage is Palo_Alto_Garage_R_distance away and the name of it is palo alto garage r.
