,inputs,outputs,predictions
1392,"is there any rain in the local forecast what city do you want the rain forecast for? for compton, will it rain on compton_wednesday? it should not rain in compton on compton_wednesday. thank you car, this sounds awesome!",you are very welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very <unk> <eos>
1393,what's the forecast for new york city,what days are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what city know you interested <unk> <eos>
1394,what's the forecast for new york city what days are you interested in? will it be cloudy today?,it will not be cloudy today in new york.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will not be cloudy today in new york <eos>
1395,what's the forecast for new york city what days are you interested in? will it be cloudy today? it will not be cloudy today in new york. thanks!,"you're welcome, have a great day.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome have a great day <eos>
1396,quickest route home.,there is home_traffic_info on the route.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you on the reach <eos>
1397,"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks!",setting navigation to quickest route home.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation to quickest route home <eos>
1398,"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks! setting navigation to quickest route home.  how far away am i right now and what is the address?",there is home_traffic_info on the 4 mile route home,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is home_traffic_info on the 4 mile route home <eos>
1399,"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks! setting navigation to quickest route home.  how far away am i right now and what is the address? there is home_traffic_info on the 4 mile route home and what is the address?",home is located at home_address. setting navigation now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> home is located at home_address setting navigation now <eos>
1400,"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks! setting navigation to quickest route home.  how far away am i right now and what is the address? there is home_traffic_info on the 4 mile route home and what is the address? home is located at home_address. setting navigation now.  thank you car!",you are welcome driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <unk> <eos>
1401,"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks! setting navigation to quickest route home.  how far away am i right now and what is the address? there is home_traffic_info on the 4 mile route home and what is the address? home is located at home_address. setting navigation now.  thank you car! you are welcome driver! great!",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1402,navigate me to the nearest hotel,"we're The_Westin_distance away from the westin and there is also a car collision nearby, it's not going to be fast",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you listed that is near fast <eos>
1403,"navigate me to the nearest hotel we're The_Westin_distance away from the westin and there is also a car collision nearby, it's not going to be fast any other options?",the westin at The_Westin_address is the only option i have available,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the westin at The_Westin_address is the only option i have available <eos>
1404,"navigate me to the nearest hotel we're The_Westin_distance away from the westin and there is also a car collision nearby, it's not going to be fast any other options? the westin at The_Westin_address is the only option i have available ok, please give me directions via the shortest distance.",setting navigation to the westin now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation to the westin now <eos>
1405,"navigate me to the nearest hotel we're The_Westin_distance away from the westin and there is also a car collision nearby, it's not going to be fast any other options? the westin at The_Westin_address is the only option i have available ok, please give me directions via the shortest distance.  setting navigation to the westin now.  thank you car assistant.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
1406,find the address to a chinese restaurant that i could get to the quickest.,"the best option is jing jing, it's Jing_Jing_distance away and there i moderate traffic on our way: would you like me to send you the position on your screen?",<pad> <pad> <pad> <pad> <pad> <pad> way would you like me to send you the position on your <unk> <eos>
1407,"find the address to a chinese restaurant that i could get to the quickest. the best option is jing jing, it's Jing_Jing_distance away and there i moderate traffic on our way: would you like me to send you the position on your screen? give me the address.",jing jing is located at Jing_Jing_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> jing jing is located at Jing_Jing_address <eos>
1408,"find the address to a chinese restaurant that i could get to the quickest. the best option is jing jing, it's Jing_Jing_distance away and there i moderate traffic on our way: would you like me to send you the position on your screen? give me the address. jing jing is located at Jing_Jing_address.  please pick the route with the shortest distance and let's go there!",shortest route set and have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> shortest route set and have a great day <eos>
1409,i need to schedule a dentist visit.,what time would you like a dentist visit scheduled?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> set you reminder this your visit <unk> <eos>
1410,i need to schedule a dentist visit.  what time would you like a dentist visit scheduled? please schedule it for 7pm on the 12th of this month,"okay great, i have that all scheduled for you. can i help with anything else?",<pad> <pad> <pad> <pad> okay great i have that all scheduled for you can i help with anything <unk> <eos>
1411,"i need to schedule a dentist visit.  what time would you like a dentist visit scheduled? please schedule it for 7pm on the 12th of this month okay great, i have that all scheduled for you. can i help with anything else? make sure to remind that alex will be going.",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1412,tell me what the temperature will be like for the next week,for what city are you interested in the weather?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> here <pad> for what city are you <pad> in the <unk> <eos>
1413,"tell me what the temperature will be like for the next week for what city are you interested in the weather? alameda, please","the temperature in alameda will be between 30f to 60f from monday to wednesday, and between 50f to 80f from thursday to alameda_sunday",<pad> be between 30f to 60f from monday to wednesday and between 50f to 80f from thursday to alameda_sunday <eos>
1414,"tell me what the temperature will be like for the next week for what city are you interested in the weather? alameda, please the temperature in alameda will be between 30f to 60f from monday to wednesday, and between 50f to 80f from thursday to alameda_sunday thank you car!",no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
1415,directions to the nearest takeout chinese restaurant,tai pan is tai_pan_distance away with heavy traffic on its direction,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> pan mandarin roots which good at <unk> <eos>
1416,"directions to the nearest takeout chinese restaurant tai pan is tai_pan_distance away with heavy traffic on its direction ok, please give me an address and directions via the fastest route.","setting directions to 830 almanor ln now. there is tai_pan_traffic_info on the way, so drive carefully.",<pad> <pad> <pad> there directions to 830 almanor ln now there is tai_pan_traffic_info on the way so drive so <eos>
1417,"directions to the nearest takeout chinese restaurant tai pan is tai_pan_distance away with heavy traffic on its direction ok, please give me an address and directions via the fastest route.  setting directions to 830 almanor ln now. there is tai_pan_traffic_info on the way, so drive carefully.  thank you.",you are welcome?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
1418,what time am i scheduled to play tennis at,you're scheduled to play tennis at 1 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> lab scheduled to play tennis at 1 pm <eos>
1419,what's the weather like,what city would you like to find out the weather about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you the the you <unk> <eos>
1420,what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton.,what days are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what days are you interested <unk> <eos>
1421,what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton. what days are you interested in? find out if there will be a blizzard on atherton_tuesday,on atherton_tuesday there will be clear skies,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> on atherton_tuesday there will be clear skies <eos>
1422,what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton. what days are you interested in? find out if there will be a blizzard on atherton_tuesday on atherton_tuesday there will be clear skies thank you,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
1423,where does my friend live?,jill lives at 347 alta mesa ave.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you friend you speak <unk> <eos>
1424,"where does my friend live? jill lives at 347 alta mesa ave. please send me her address on screen and pick a route with no traffic to get there, thank you!","there is moderate traffic on our way but we're just 4 miles away, we should be able to reach there in about 5 minutes",<pad> <pad> but we're just 4 miles away we should be able to reach there in about 5 minutes <eos>
1425,"where does my friend live? jill lives at 347 alta mesa ave. please send me her address on screen and pick a route with no traffic to get there, thank you! there is moderate traffic on our way but we're just 4 miles away, we should be able to reach there in about 5 minutes thank you",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1426,"where does my friend live? jill lives at 347 alta mesa ave. please send me her address on screen and pick a route with no traffic to get there, thank you! there is moderate traffic on our way but we're just 4 miles away, we should be able to reach there in about 5 minutes thank you you are welcome let's go!",ok. navigating to 347 alta mesa ave now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> ok navigating to 347 alta mesa ave now <eos>
